identifiant;fournisseur;zone_disponibilite;nom;code_region;ville;zone_disponibilite_em
us-central1-a;GCP;Amérique du Nord;Council Bluffs, Iowa, Amérique du Nord;US-IA;Council Bluffs;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
us-central1-b;GCP;Amérique du Nord;Council Bluffs, Iowa, Amérique du Nord;US-IA;Council Bluffs;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
us-central1-c;GCP;Amérique du Nord;Council Bluffs, Iowa, Amérique du Nord;US-IA;Council Bluffs;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
us-central1-f;GCP;Amérique du Nord;Council Bluffs, Iowa, Amérique du Nord;US-IA;Council Bluffs;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
us-east1-b;GCP;Amérique du Nord;Moncks Corner, Caroline du Sud, Amérique du Nord;US-SC;Moncks Corner;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
us-east1-c;GCP;Amérique du Nord;Moncks Corner, Caroline du Sud, Amérique du Nord;US-SC;Moncks Corner;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
us-east1-d;GCP;Amérique du Nord;Moncks Corner, Caroline du Sud, Amérique du Nord;US-SC;Moncks Corner;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
us-east4-a;GCP;Amérique du Nord;Ashburn, Virginie, Amérique du Nord;US-VA;Ashburn;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
us-east4-b;GCP;Amérique du Nord;Ashburn, Virginie, Amérique du Nord;US-VA;Ashburn;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
us-east4-c;GCP;Amérique du Nord;Ashburn, Virginie, Amérique du Nord;US-VA;Ashburn;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
us-east5-a;GCP;Amérique du Nord;Columbus, Ohio, Amérique du Nord;US-OH;Columbus;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
us-east5-b;GCP;Amérique du Nord;Columbus, Ohio, Amérique du Nord;US-OH;Columbus;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
us-east5-c;GCP;Amérique du Nord;Columbus, Ohio, Amérique du Nord;US-OH;Columbus;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
us-south1-a;GCP;Amérique du Nord;Dallas, Texas, Amérique du Nord;US-TX;Dallas;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
us-south1-b;GCP;Amérique du Nord;Dallas, Texas, Amérique du Nord;US-TX;Dallas;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
us-south1-c;GCP;Amérique du Nord;Dallas, Texas, Amérique du Nord;US-TX;Dallas;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
us-west1-a;GCP;Amérique du Nord;The Dalles, Oregon, Amérique du Nord;US-OR;The Dalles;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
us-west1-b;GCP;Amérique du Nord;The Dalles, Oregon, Amérique du Nord;US-OR;The Dalles;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
us-west1-c;GCP;Amérique du Nord;The Dalles, Oregon, Amérique du Nord;US-OR;The Dalles;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
us-west2-a;GCP;Amérique du Nord;Los Angeles, Californie, Amérique du Nord;US-CA;Los Angeles;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
us-west2-b;GCP;Amérique du Nord;Los Angeles, Californie, Amérique du Nord;US-CA;Los Angeles;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
us-west2-c;GCP;Amérique du Nord;Los Angeles, Californie, Amérique du Nord;US-CA;Los Angeles;('CA-ON','CA-QC','CR','NI','PA','US-CAL-BANC','US-CAL-CISO','US-CAL-IID','US-CAL-LDWP','US-CAL-TIDC','US-CAR-CPLE','US-CAR-CPLW','US-CAR-DUK','US-CAR-SC','US-CAR-SCEG','US-CAR-YAD','US-CENT-SPA','US-CENT-SWPP','US-FLA-FMPP','US-FLA-FPC','US-FLA-FPL','US-FLA-GVL','US-FLA-JEA','US-FLA-SEC','US-FLA-TAL','US-FLA-TEC','US-HI-OA','US-MIDA-PJM','US-MIDW-AECI','US-MIDW-LGEE','US-MIDW-MISO','US-NE-ISNE','US-NW-AVA','US-NW-BPAT','US-NW-CHPD','US-NW-DOPD','US-NW-GCPD','US-NW-GRID','US-NW-IPCO','US-NW-NEVP','US-NW-NWMT','US-NW-PACE','US-NW-PACW','US-NW-PGE','US-NW-PSCO','US-NW-PSEI','US-NW-SCL','US-NW-TPWR','US-NW-WACM','US-NW-WAUW','US-NY-NYIS','US-SE-SOCO','US-SW-AZPS','US-SW-EPE','US-SW-PNM','US-SW-SRP','US-SW-TEPC','US-SW-WALC','US-TEN-TVA','US-TEX-ERCO')
